wj|(Admirativpartikel)|Wb I S 270|(Admirativpartikel)
Aw-Drt|freigiebig|Wb V S 582|freigiebig
Awj|lang sein|Wb I S 3|lang sein
Awj|ausstrecken|Wb I S 5|ausstrecken
Awj-jb|fr&ouml;hlich sein, erfreuen|Wb I S 4|froehlich sein, erfreuen
Awj-Drt|Hand anlegen|Wb I S 5|Hand anlegen
Awr|zittern|Wb I S 5|zittern
AwH|verdr&auml;ngen|Wb I S 5|verdraengen
Awx|dienen|Wb I S 5|dienen
AwS|[Spezereien]|Wb I S 6|[Spezereien]
Ab|aufh&ouml;ren|Wb I S 6|aufhoeren
Ab|mit Brandmal stempeln|Wb I S 6|mit Brandmal stempeln
Ab|Brandstempel|Wb I S 6|Brandstempel
Ab|Fingernagel|Wb I S 7|Fingernagel
Ab|[Substantiv]|Meeks: AL 780023|[Substantiv]
Abt|Familie|Wb I S 7|Familie
Abt|[Gegenstand]|Wb I S 7|[Gegenstand]
Abt|[Substantiv]|Wb I S 7|[Substantiv]
Abt|[Reliquiar von Abydos]|Meeks: AL 770024; Meeks: AL 790016|[Reliquiar von Abydos]
Abt|Speichel|Meeks: AL 780024|Speichel
Abt|Wunsch, Gel&uuml;bde(?)|Meeks: AL 790019|Wunsch, Geluebde(?)
AbAb|(Verbum)|Wb I S 8|(Verbum)
Abj|w&uuml;nschen|Wb I S 6|wuenschen
Abj|Panther|Wb I S 7|Panther
Abjjt|Gottesanbeterin|In: JEOL 23 S 365ff|Gottesanbeterin
Abj-mH|Gepard|Wb I S 7|Gepard
Abj-Sma|Leopard|Wb I S 7|Leopard
Abjjt|[Vogel]|Meeks: AL 780026|[Vogel]
Abw|Aufh&ouml;ren|Wb I S 6|Aufhoeren
Abw|Elefant|Wb I S 7|Elefant
Abw|Elefantenzahn|Wb I S 7|Elefantenzahn
Abw|Elephantine|Wb I S 7|Elephantine
Abw|[offizinell Verwendetes]|Wb I S 7|[offizinell Verwendetes]
Abw|Brandzeichen|Meeks: AL 770025|Brandzeichen
Abw|Gel&uuml;bde, Wunsch|Meeks: AL 780019|Geluebde, Wunsch
Abw|Mumifizierungszelt|Meeks: AL 780025|Mumifizierungszelt
Abwt|Gestalt|Wb I S 8|Gestalt
Abwtjjw|Familienangeh&ouml;rige, Hauspersonal|Meeks: AL 770027; Meeks: AL 780020|Familienangehoerige, Hauspersonal
Ab(w)d|[Name des Reliquiars in Abydos]|RdE 29 (1977) S 5|[Name des Reliquiars in Abydos]
Abb|(Verbum)|Wb I S 8|(Verbum)
Abb|Stummer|Meeks: AL 770033|Stummer
Abnn|[Fischart]|Wb I S 8|[Fischart]
Abnn|[Vogel]|Wb I S 8|[Vogel]
Abx|[Armbewegung]|Wb I S 8|[Armbewegung]
Abx|vermischen, mischen|Wb I S 8|vermischen, mischen
Abx|kochen|Meeks: AL 770034|kochen
Abxt|[offizinell verwendete Fl&uuml;ssigkeit]|Wb I S 8|[offizinell verwendete Fluessigkeit]
Abgbg|Verschwendung, &Uuml;berflu&szlig;|Meeks: AL 780028|Verschwendung, Ueberfluss
Abd|[Vogel]|RdE 30 (1978) S 10|[Vogel]
AbD|[Fischergenius]|Meeks: AL 780031|[Fischergenius]
AbDw|[Fisch]|Wb I S 8|[Fisch]
AbDw|Abydos|Wb I S 9|Abydos
AbDw|Abydener|Wb I S 9|Abydener
Apt|Scheffel (= {ipt})|Meeks: AL 790025|Scheffel (= {ipt})
Apd|Vogel|Wb I S 9|Vogel
Apd|Vogel (Sternbild)|Wb I S 9|Vogel (Sternbild)
Apd|begatten|Wb I S 9|begatten
Apd|herbeieilen|Wb I S 9|herbeieilen
Apd|(= {jpdw}) M&ouml;bel|Wb I S 9|(= {jpdw}) Moebel
Apdw-gnX-pt|V&ouml;gel am Himmel|Wb V S 176|Voegel am Himmel
Apdwt|Gefl&uuml;gel|Wb I S 9|Gefluegel
Aft|?|Meeks: AL 770043|?
Aft|Nekropole(?)|Meeks: AL 790027|Nekropole(?)
AfAf|zujubeln|Wb I S 9|zujubeln
AfAf|sich mit Speisen &uuml;berladen|Meeks: AL 780037|sich mit Speisen ueberladen
Afj|Ertrag vom Fischfang|Wb I S 9|Ertrag vom Fischfang
Afjj|sich mit Speisen &uuml;berladen|Meeks: AL 780035|sich mit Speisen ueberladen
Afjjt|W&auml;rme, Hitze|RdE 30 (1978) S 10; Meeks: AL 780036|Waerme, Hitze
Afa|gierig|Wb I S 9|gierig
Afa|Vielfra&szlig;, Gefr&auml;&szlig;iger|Meeks: AL 770044; Meeks: AL 780039|Vielfrass, Gefraessiger
Afr|kochen, sieden|Wb I S 9|kochen, sieden
Am|verbrennen|Wb I S 10|verbrennen
Am|L&ouml;we|Wb I S 10|Loewe
Am|[Bezeichnung des Horus]|Wb I S 10|[Bezeichnung des Horus]
Am|verst&uuml;mmeln|Meeks: AL 770046|verstuemmeln
Amt|[Substantiv]|RdE 29 (1977) S 5; Meeks: AL 770047|[Substantiv]
Amj|[Epithet des Sonnengottes]|Meeks: AL 770049|[Epithet des Sonnengottes]
Amj|mischen|Wb I S 10|mischen
Ama|[Vogel]|Wb I S 10|[Vogel]
Amat|Brei|Wb I S 10|Brei
Amat|[Bezeichnung f&uuml;r Gelenk]|Wb I S 10|[Bezeichnung fuer Gelenk]
Amat|T&uuml;rangel|RdE 30 (1978) S 10; Meeks: AL 770050; Meeks: AL 780040|Tuerangel
Amw|Glut|Wb I S 10|Glut
Amwt|Verbrennung|Wb I S 10|Verbrennung
Amm|ergreifen|Wb I S 10|ergreifen
Amm|[Substantiv]|Wb I S 10|[Substantiv]
Ammt|Griff|Wb I S 11|Griff
Ammw|[Krankheit]|Wb I S 11|[Krankheit]
Ams|[Keule]|Wb I S 11|[Keule]
Ams|(Verbum von Freude der Kuh am Kalb)|Wb I S 11|(Verbum von Freude der Kuh am Kalb)
Ams|(= {jwms}) Unwahrheit|Wb I S 11|(= {jwms}) Unwahrheit
Amst|Hand|Meeks: AL 780044|Hand
Ams-jb|sich freuen|Wb I S 11|sich freuen
Amsw|[Substantiv]|Meeks: AL 770055|[Substantiv]
Anq|[Priester]|Wb I S 11|[Priester]
Ar|verdr&auml;ngen|Wb I S 11|verdraengen
Ar|(= {jtr}) Wegema&szlig;|Wb I S 11|(= {jtr}) Wegemass
Art|Kopftuch, Per&uuml;cke|Wb I S 11|Kopftuch, Peruecke
Art|[Substantiv]|Meeks: AL 780046|[Substantiv]
Art|Himmel(?)|Meeks: AL 780047|Himmel(?)
Arjt|[Stab]|Wb I S 12|[Stab]
Arw|[Substantiv]|Meeks: AL 770057|[Substantiv]
Arwkt|Walkerfl&uuml;ssigkeit|Cerny: CED S 5|Walkerfluessigkeit
Arwtjjw|[Substantiv]|Meeks: AL 780048|[Substantiv]
Arr|sich ungeduldig machen|Meeks: AL 770058|sich ungeduldig machen
Arr|Entt&auml;uschung(?)|Cerny: CED S 5|Enttaeuschung(?)
Ars|[Substantiv]|RdE 30 (1978) S 10; Meeks: AL 780049|[Substantiv]
Ah|traurig, elend sein|Wb I S 12|traurig, elend sein
Aht|(= {jht}) Kuh|Wb I S 12|(= {jht}) Kuh
Aht|[G&ouml;ttin]|Meeks: AL 780050|[Goettin]
Ahw|Schmerz|Wb I S 12|Schmerz
Ahw|Bek&uuml;mmerter|Wb I S 12|Bekuemmerter
Ahmt|Leid|Wb I S 12|Leid
Ahrw|[Kollegium von G&ouml;ttern]|Meeks: AL 780051|[Kollegium von Goettern]
Ahd|ohnm&auml;chtig, schwach|Wb I S 12|ohnmaechtig, schwach
Ahd|der Ersch&ouml;pfte|Meeks: AL 780052|der Erschoepfte
AH|[Kuchen]|Wb I S 12|[Kuchen]
AHt|Acker, Ackererde|Wb I S 12|Acker, Ackererde
AHt-nmHw|[Acker]|Wb II S 268|[Acker]
AH-Ht|Schacht (des Grabes)|Wb I S 12|Schacht (des Grabes)
AHt-tftf|bew&auml;sserte &Auml;cker|Wb V S 300|bewaesserte Aecker
AHAHj|(Verbum)|Wb I S 13|(Verbum)
AHjt|&Auml;cker|Wb I S 12|Aecker
AHjj|Welle der &Uuml;berschwemmung|Meeks: AL 780054|Welle der Ueberschwemmung
AHs|[Gottheit]|Meeks: AL 780055|[Gottheit]
Ax|herrlich, trefflich, n&uuml;tzlich sein|Wb I S 13|herrlich, trefflich, nuetzlich sein
Ax|W&uuml;rde als Geist, Geistermacht|Wb I S 15|Wuerde als Geist, Geistermacht
Ax|Geist sein|Wb I S 15|Geist sein
Ax|Geist, Verkl&auml;rungsseele|Wb I S 15|Geist, Verklaerungsseele
Ax|selig werden, Seliger, Toter|Wb I S 16|selig werden, Seliger, Toter
Ax|[Bezeichnung f&uuml;r Bier, Wein]|Wb I S 17|[Bezeichnung fuer Bier, Wein]
Ax|(Verbum)|Wb I S 18|(Verbum)
Ax|gr&uuml;nen, gedeihen|Meeks: AL 780077; Meeks: AL 790045|gruenen, gedeihen
Ax|&lt;&lt;in der Amarnazeit&gt;&gt;|Friedman, F: {Ax} in the Amarna Period In: JARCE 23 (1986) S 99 - 106|<<in der Amarnazeit>>
Ax||Englund, G: Akh - une notion religieuse dans l'Egypte pharaonique Uppsala 1978 (= Acta Universitatis Upsaliensis Boreas Uppsala Studies in Ancient  Cuvilizations 11)|
Axt|&Uuml;berschwemmungszeit|Wb I S 13|Ueberschwemmungszeit
Axt|(= {jxt}) Sache|Wb I S 13|(= {jxt}) Sache
Axt|Herrlichkeit, N&uuml;tzliches|Wb I S 15|Herrlichkeit, Nuetzliches
Axt|selige Tote|Wb I S 16|selige Tote
Axt|Verkl&auml;rte (als Bezeichnung von G&ouml;ttinnen)|Wb I S 16|Verklaerte (als Bezeichnung von Goettinnen)
Axt|[Schlange des K&ouml;nigs]|Wb I S 16|[Schlange des Koenigs]
Axt|G&ouml;tteraugen|Wb I S 17|Goetteraugen
Axt|Hathorkuh|Wb I S 17|Hathorkuh
Axt|Flamme, Feuer|Wb I S 17|Flamme, Feuer
Axt|[Bezeichnung f&uuml;r eine Priesterin]|Wb I S 17|[Bezeichnung fuer eine Priesterin]
Axt|Brot|Wb I S 17|Brot
Axt|[Gef&auml;&szlig; f&uuml;r Osirisglieder]|Wb I S 17|[Gefaess fuer Osirisglieder]
Axt|Horizont, Sonnenaufgangsort|Wb I S 17|Horizont, Sonnenaufgangsort
Axt|Acker|Wb I S 18|Acker
Axt|[G&ouml;ttin des Fruchtlandes]|Wb I S 18|[Goettin des Fruchtlandes]
Axt|Ibis|Wb I S 18|Ibis
Axt|Messer|Wb I S 18|Messer
Axtj|Horizontbewohner (von G&ouml;ttern)|Wb I S 18|Horizontbewohner (von Goettern)
Axtj|Ackerpflanzen|Wb I S 18|Ackerpflanzen
Axtjt|[Beiname der Hathor von Dendera]|Wb I S 18|[Beiname der Hathor von Dendera]
Ax-jb|klug, wohlgesinnt|Wb I S 13|klug, wohlgesinnt
Axt-jtn|Amarna|Wb I S 17|Amarna
Ax-bjt|Chemmis, [Gew&auml;sser]|Wb I S 13|Chemmis, [Gewaesser]
Ax-bjtt|[Himmelskuh]|Wb I S 13|[Himmelskuh]
Ax-nxx|[Dekane]|Wb I S 16|[Dekane]
AxA|[Substantiv]|Meeks: AL 780080|[Substantiv]
AxAx|gr&uuml;nen, gr&uuml;nend sein|Wb I S 18|gruenen, gruenend sein
AxAx|Knochen|Wb I S 19|Knochen
AxAx|[Bezeichnung der Sterne]|Wb I S 19|[Bezeichnung der Sterne]
AxAx|[Schiffsger&auml;t]|Wb I S 19|[Schiffsgeraet]
AxAx|(= {jxxw}) D&auml;mmerung|Wb I S 19|(= {jxxw}) Daemmerung
AxAx|Tauwerk(?), Seile(?), Fasern(?)|Meeks: AL 780082|Tauwerk(?), Seile(?), Fasern(?)
AxAxw|Sterne|Wb I S 19|Sterne
Axj|zusammenfegen (die Ernte)|Wb I S 18|zusammenfegen (die Ernte)
Axj|Pflanzen|Wb I S 18|Pflanzen
Axjjt|[Raum]|Gardiner: In: Fs Grapow S 1|[Raum]
Axjjt|Schlachthaus|Meeks: AL 770077; Meeks: AL 780071|Schlachthaus
Axw|Macht (eines Gottes)|Wb I S 15|Macht (eines Gottes)
Axwj|[Dekane]|Wb I S 16|[Dekane]
Axf|E&szlig;lust|Wb I S 19|Esslust
Axfxf|in Glut geraten|Wb I S 19|in Glut geraten
AXa|kratzen|Wb I S 19|kratzen
AXa|Steinmetz|Wb I S 19|Steinmetz
AXa|durchschreiten (Tore)|Wb I S 19|durchschreiten (Tore)
AXat|Kratzwunde|Wb I S 19|Kratzwunde
AXb|verschlucken|Meeks: AL 780085; Meeks: AL 790048|verschlucken
AXbjj|der Verschlucker|Meeks: AL 780086|der Verschlucker
AXbw|[D&auml;mon:] Verschlinger]|Meeks: AL 790049|[Daemon:] Verschlinger]
As|eilen|Wb I S 20|eilen
As|[Substantiv]|Wb I S 20|[Substantiv]
As|K&ouml;rperteil von Rind und Schwein|Wb I S 20|Koerperteil von Rind und Schwein
As|Leichengestank|Wb I S 20|Leichengestank
Ast|(= {(j)st}) G&ouml;ttin Isis|Wb I S 20|(= {(j)st}) Goettin Isis
Ast|[Material]|Wb I S 20|[Material]
Ast|Zittern|Wb I S 20|Zittern
Asw|Vogelmist|Wb I S 20|Vogelmist
Asb|brennen|Wb I S 20|brennen
Asb|der Strahlende|Meeks: AL 780090; Meeks: AL 790051|der Strahlende
Asbt|[Bezeichnung einer G&ouml;ttin]|Wb I S 20|[Bezeichnung einer Goettin]
Asrt|Himmel(?)|Meeks: AL 780091|Himmel(?)
Asx|mit Sichel m&auml;hen, ernten|Wb I S 19|mit Sichel maehen, ernten
Asx|Sichel|Wb I S 19|Sichel
Astjj|der Zitterer(?)|Meeks: AL 780093|der Zitterer(?)
AS|[Gott der Libyer]|Wb I S 20|[Gott der Libyer]
AS|ausspeien|Wb I S 21|ausspeien
AS|durchdringend sein (vom Blick)|Meeks: AL 780094|durchdringend sein (vom Blick)
ASASt|[Substantiv]|Wb I S 21|[Substantiv]
ASjt|[Krankheit]|Wb I S 21|[Krankheit]
ASr|braten|Wb I S 21|braten
ASrt|Bratenst&uuml;ck|Wb I S 21|Bratenstueck
Aq|umkommen, zugrunde gehen|Wb I S 21|umkommen, zugrunde gehen
Aq|Verw&uuml;stung|Wb I S 21|Verwuestung
Aq|(= {jAq}) emporsteigen|Wb I S 21|(= {jAq}) emporsteigen
AqA|[Schiffsteil]|Wb I S 21|[Schiffsteil]
Aqjt|Verlust|Wb I S 21|Verlust
Aqw|Mehl|Wb I S 21|Mehl
Aqw-n-hA|Brotsorte|Wb II S 475|Brotsorte
AqHw|(= {jqHw}) Beil|Wb I S 22|(= {jqHw}) Beil
Aqs|(Verbum)|Wb I S 22|(Verbum)
Aqs|[Gewand(?)]|RdE 30 (1978) S 10; Meeks: AL 780098; Meeks: AL 790056|[Gewand(?)]
Aqs|[Gottheit] (= {Hqs})]|Meeks: AL 780099|[Gottheit] (= {Hqs})]
Aqd|Vielfra&szlig;|Meeks: AL 770094|Vielfrass
Aqdw|die Gefr&auml;&szlig;igen [D&auml;monen]|Meeks: AL 780100|die Gefraessigen [Daemonen]
Ak|beugen|Wb I S 22|beugen
Akw|(Verbum vom Herzen)|Wb I S 22|(Verbum vom Herzen)
Akwt|[Krankheit]|Wb I S 22|[Krankheit]
Akr|[Erdgott]|Wb I S 22|[Erdgott]
Ag|pflanzen|Wb I S 22|pflanzen
AgAp|(Verbum)|Wb I S 22|(Verbum)
Agb|&uuml;berschwemmen|Wb I S 22|ueberschwemmen
Agb|[Substantiv]|Wb I S 22|[Substantiv]
Agbj|Flut|Wb I S 22|Flut
Agbw|[Substantiv:] sch&auml;dliche &Uuml;berschwemmung(?)]|Meeks: AL 780105|[Substantiv:] schaedliche Ueberschwemmung(?)]
Agbgb|schaudern|Wb I S 22|schaudern
Agbgb|&Uuml;berflu&szlig;|Meeks: AL 780106|Ueberfluss
Aggt|[Teil des Rohrs]|Wb I S 22|[Teil des Rohrs]
Aggt|Garbe von Flachsstengeln|Meeks: AL 780107|Garbe von Flachsstengeln
Atj|[Sonnenschiff]|Wb I S 22|[Sonnenschiff]
Atj|sorgen f&uuml;r jemanden|Wb I S 24|sorgen fuer jemanden
Atf|[Krone der G&ouml;tter]|Wb I S 23|[Krone der Goetter]
Atf|gekr&ouml;nt sein|Wb I S 23|gekroent sein
Atf|R&auml;ucherwerk|Wb I S 23|Raeucherwerk
Atf|[Baum]|Wb I S 23|[Baum]
Atftj|Bekr&ouml;nter (Osiris)|Wb I S 23|Bekroenter (Osiris)
AT|warten, aufziehen (Kind)|Wb I S 23|warten, aufziehen (Kind)
ATt|Bahre, Bett|Wb I S 23|Bahre, Bett
ATjt|Amme|Wb I S 23|Amme
ATw|[Beamter]|Wb I S 23|[Beamter]
ATw|Angriff, Aggression|Meeks: AL 780112|Angriff, Aggression
AT(w)|zu Asche verbrennen(?)|Meeks: AL 780111|zu Asche verbrennen(?)
ATp|laden (Schiff)|Wb I S 23|laden (Schiff)
ATp|[Kasten]|Wb I S 24|[Kasten]
ATpw|Last|Wb I S 24|Last
ATpwt|Last|Wb I S 24|Last
Ad|Krokodil|Wb I S 24|Krokodil
Ad|w&uuml;tend sein|Wb I S 24|wuetend sein
Ad|Wut|Wb I S 24|Wut
Ad|sorgen f&uuml;r|Wb I S 24|sorgen fuer
Ad|verwesen|Wb I S 24|verwesen
Ad|ausschmieren (Topf mit Ton)|Wb I S 25|ausschmieren (Topf mit Ton)
Ad|matt werden|Wb I S 25|matt werden
Adt|[Augenkrankheit]|Wb I S 24|[Augenkrankheit]
Adw|W&uuml;tender|Wb I S 24|Wuetender
Admw|[Gottheit]|Meeks: AL 780116; Meeks: AL 790066|[Gottheit]
Adt|(vom Herrichten eines Kissens)|Wb I S 25|(vom Herrichten eines Kissens)
j|Blatt des Rohres|Wb I S 25|Blatt des Rohres
j|[Thot]|Wb I S 25|[Thot]
j|oh!|Wb I S 25|oh!
jjr|(= {rir})|P d'Orb 1710|(= {rir})
jA|anbeten, beten|Meeks: AL 770120|anbeten, beten
jA|oh!|Wb I S 25|oh!
jA|wahrlich!|Wb I S 25|wahrlich!
jA|schreiten|Wb I S 26|schreiten
jAt|R&uuml;ckgrat|Wb I S 26|Rueckgrat
jAt|Tragstange (f&uuml;r heilige Tiere)|Wb I S 26|Tragstange (fuer heilige Tiere)
jAt|[Substantiv]|Wb I S 26|[Substantiv]
jAt|St&auml;tte|Wb I S 26|Staette
jAt|[Name einer G&ouml;ttin]|Wb I S 26|[Name einer Goettin]
jAt|[Opfergabe]|Wb I S 27|[Opfergabe]
jAt|(= {At}) Zeitpunkt|Wb I S 27|(= {At}) Zeitpunkt
jAt|[Raum]|Wb I S 27|[Raum]
jAt|[Pflanze]|Wb I S 27|[Pflanze]
jAtj|[Milchgott]|Wb I S 26|[Milchgott]
jAtt|[Bezeichnung der Milch]|Wb I S 27|[Bezeichnung der Milch]
jAtt|[Substantiv]|Wb I S 34|[Substantiv]
jAtjjw|[Standarteng&ouml;tter]|Meeks: AL 790076|[Standartengoetter]
jAwt|&Auml;gypten|Wb I S 26|Aegypten
jAt-wabt|Abaton|Wb I S 26|Abaton
jAA|[Stein]|Wb I S 27|[Stein]
jAA|[Pflanze]|Wb I S 27|[Pflanze]
jAAt|[Keule]|Wb I S 27|[Keule]
jAAt|Zweig, Rute|Wb I S 27|Zweig, Rute
jAAt|[Substantiv]|Wb I S 27|[Substantiv]
jAAw|[Vogel]|Meeks: AL 780130|[Vogel]
jAAw|Widder(?)|Meeks: AL 780131|Widder(?)
jAjt|Greise|Wb I S 29|Greise
jAjw|Haarflechten|Wb I S 27|Haarflechten
jAa|Schurz|Wb I S 27|Schurz
jAa|(Verbum vom Behandeln der K&auml;lber)|Wb I S 27|(Verbum vom Behandeln der Kaelber)
jAw|H&uuml;gel(?)|Meeks: AL 780125|Huegel(?)
jAw|Lobpreis|Wb I S 28|Lobpreis
jAw|[offizinell Verwendetes]|Wb I S 28|[offizinell Verwendetes]
jAw|Greis|Wb I S 29|Greis
jAwt|Alter|Wb I S 28|Alter
jAwt|Greisin|Wb I S 29|Greisin
jAwt|Greise, Alte|Wb I S 29|Greise, Alte
jAwt|[Ger&auml;t]|Wb I S 29|[Geraet]
jAwt|W&uuml;rde|Wb I S 29|Wuerde
jAwt|Vieh|Wb I S 29|Vieh
jAwtj|W&uuml;rdentr&auml;ger|Wb I S 29|Wuerdentraeger
jAwt-xntt|vornehmste &Auml;mter|Wb III S 304|vornehmste Aemter
jAwA|[Kasten]|Wb I S 29|[Kasten]
jAwj|alt werden|Wb I S 28|alt werden
jAwj|Alter|Wb I S 28|Alter
jAwtj|[Bezeichnung des Horus (Harpunierer)]|Wb I S 29|[Bezeichnung des Horus (Harpunierer)]
jAb|[Substantiv]|Meeks: AL 780149|[Substantiv]
jAb|&uuml;belriechend o &auml;|Wb I S 29|uebelriechend o ae
jAb|Linke (linker Arm)|Wb I S 30|Linke (linker Arm)
jAbt|linke Seite|Wb I S 30|linke Seite
jAbt|Osten|Wb I S 30|Osten
jAbt|linkes Auge|Wb I S 30|linkes Auge
jAbtj|&ouml;stlich|Wb I S 30|oestlich
jAbtj|Ostwind|Wb I S 31|Ostwind
jAbtt|Osten|Wb I S 31|Osten
jAbtt|linkes Auge|Wb I S 31|linkes Auge
jAbj|links|Wb I S 30|links
jAbjs|Stiftung, Schatz|Wb I S 31|Stiftung, Schatz
jAbrk|[Gegenstand aus Silber]|Wb I S 31|[Gegenstand aus Silber]
jAbtt|[Schlangeng&ouml;ttin]|Wb I S 31|[Schlangengoettin]
jAbtt|Falle|Wb I S 31|Falle
(j)Abt|[Vogel]|RdE 30 (1978) S 10|[Vogel]
jAbtjw|Ostbewohner|Wb I S 31|Ostbewohner
jAbtjw|Osten|Wb I S 31|Osten
jApt|Pfahl(?), Brett|Jacquet-Gordon: Noms des domaines funeraires S 46; RdE 30 (1978) S 10; BdE 34 S 130 (Nr 23) und S 296 (Nr 17); Meeks: AL 780150|Pfahl(?), Brett
jApjj|[Gottheit]|Meeks: AL 780151|[Gottheit]
jAft|Kralle (Raubvogel)|Wb I S 31|Kralle (Raubvogel)
jAfw|Ausflu&szlig; (aus den Augen)|Meeks: AL 780152|Ausfluss (aus den Augen)
jAm|binden (Schlachtvieh)|Wb I S 31|binden (Schlachtvieh)
jAm|(= {Am}) verbrennen|Wb I S 31|(= {Am}) verbrennen
jAr|(Verbum)|Wb I S 32|(Verbum)
jAr|Trauer|Wb I S 32|Trauer
jAr|[Pflanze]|Wb I S 32|[Pflanze]
jArt|Ur&auml;us|Wb I S 32|Uraeus
jArt|[Teil eines Fisches]|Wb I S 32|[Teil eines Fisches]
jArt|[Szepter]|Wb I S 32|[Szepter]
jArw|Binse|Wb I S 32|Binse
jArw|[Gott des Binsengefildes]|Wb I S 32|[Gott des Binsengefildes]
jArrt|Weinstock, Weintraube|Wb I S 32|Weinstock, Weintraube
jAHs|[Gott von Ober&auml;gypten]|Wb I S 33|[Gott von Oberaegypten]
jAx|gl&auml;nzen|Wb I S 33|glaenzen
jAxt|[Beiname der Hathor]|Wb I S 33|[Beiname der Hathor]
jAxj|&uuml;berschwemmt werden|Wb I S 33|ueberschwemmt werden
jAxw|Glanz (der Sonne)|Wb I S 33|Glanz (der Sonne)
jAst|[G&ouml;ttin des Nacht\himmels]|Meeks: AL 780164|[Goettin des Nacht\himmels]
jAs|kahl|Wb I S 33|kahl
